year,question_id_specific,question_id_general,question_id_final,canceled,full_question,full_answer,full_answer_references,type,difficulty,difficulty_percentage,associated_image,option_1,option_2,option_3,option_4,option_5,correct_answer,Zalantzazkoa,Ez da guztiz egokia
2011,35,,,,"Hombre de 43 años sin enfermedades de interés que acude a Urgencias por 4 deposiciones melénicas en las últimas 12 horas. Refiere toma de AINEs en días previos. En la exploración física, estaca palidez de piel y  mucosas. TA 95/65 y FC 110 lpm. El abdomen no es doloroso y en el tacto rectal se demuestran deposiciones melénicas. En la analítica se encuentra una cifra de Hb de 8,1 gr/dl. Tras infusión de salino y comenzar la transfusión de concentrado de hematíes la TA es 120/85 y la FC 90 lpm. Se realiza endoscopia en la que se encuentran coágulos en el estómago y una úlcera de 2 cm en el antro gástrico con fondo de fibrina y una pequeña protuberancia blanco grisácea de 3 mm en el centro de la úlcera (trombo plaquetario vaso visible). ¿qué actitud le parece la más correcta?","Pregunta sobre HDA no varicosa. Paciente joven, sin antecedentes que tras toma de AINEs presenta sangrado con inestabilidad hemodinámica que precisa transfusión.  La 1 respuesta no está acorde con lo dicho, es un paciente inestable que ha sangrado bastante, que presenta una úlcera Forrest IIa que presenta un riesgo de resangrado alto. La 2 habla de somatostatina, que se utiliza para el sangrado por hipertensión portal. La 4 sólo se planteará si no se controla el sangrado endoscópicamente . Entre la 3 y la 5, al tener un alto riesgo de sangrado se recomienda realizar terapéutica endoscópica a poder ser con 2 técnicas por lo que la correcta sería la 5.",,DIGESTIVO,,,,"Dado que el paciente es joven, sin enfermedades asociadas y la úlcera ha dejado de sangrar, puede ser dado de alta precozmente con tratamiento con un IBP y erradicación de H. Pylori.","Retirar el endoscopio, colocar sonda nasogástrica para aspiración continua e iniciar tratamiento con un IBP y somatostatina.","Tomar biopsia para la detección de H. Pylori, retirar el endoscopio procurando no desprender el trombo plaquetario y continuar tratamiento farmacológico con IBP i.v.",Consulta al servicio de Cirugía para considerar tratamiento quirúrgico urgente.,Tratamiento endoscópico mediante inyección de adrenalina en la úlcera y colocación de clips (grapas metálicas) seguido de la administración i.v. de IBP.,5,,
2011,36,,,,"Un paciente de 87 años con antecedentes de bronquitis crónica e insuficiencia cardiaca, ha sido diagnosticado de colecistitis aguda litiásica. Tras 4 días de hospitalización en tratamiento con dieta absoluta, sueroterapia piperacilina-tazobactam, el paciente continúa con fiebre, dolor abdominal persistente y leucocitosis.. La actitud más adecuada en este momento sería:","En esta pregunta, insisten en la edad y a comorbilidad del paciente, así como en el tiempo de evolución, por lo que la respuesta probablemente no será la 1.  De todas formas lo ideal es drenar esa vesícula que no acaba de remontar por lo que la respuesta que yo pondría sería la 2.",,DIGESTIVO,,,,Tratamiento quirúrgico urgente.,Drenaje biliar mediante colecistostomía percutanea.,Sustituir la piperacilina-tazobactam por metronidazol-cefotaxima.,Sustituir la piperacilina-tazobactam por amikacina-clindamicina.,Añadir al tratamiento un aminoglucósido como gentamicina.,2,,
2011,37,,,,"Una mujer de 76 años sin otros antecedentes que hipertensión arterial, consulta por ictericia indolora y prurito con anorexia. Analíticamente destaca bilirrubina de 12 mg/dl (9,5 de directa). La ecografía muestra dilatación biliar intra y extrahepática junto con un nódulo hepático único menor de 2 cm localizado periféricamente en la cara anterior de lóbulo izquierdo. La TC confirma estos hallazgos demostrando además la presencia de masa pancreática de 3,5 cm. En la cabeza pancreática. La punción aspiración del nódulo hepático resulta concluyente para adenocarcinoma. Señale la mejor opción terapéutica:","Caso que no me parece tan fácil. Es un adenocarcinoma de páncreas con metástasis, por lo cual el tratamiento debe ser paliativo con lo que quitamos las opciones 1 y 5. En principio es una paciente con moderadamente buen estado general con lo que lo ideal sería hacer una derivación biliar permanente y quimioterapia siendo la 4 la opción que considero más correcta.",,DIGESTIVO,,,,"Quimio/radioterapia neoadyuvante, condicionando la opción de cirugía radical a la respuesta inicial.",Drenaje biliar externo percutáneo con carácter paliativo con eventual reconversión a drenaje interno en caso de intolerancia o complicaciones.,Derivación biliar quirúrgica paliativa con o sin gastroyeyunostomía profiláctica en función de los hallazgos intraoperatorios.,Prótesis biliar metálica mediante colangiopancreatografía retrógrada endoscópica con opción a quimioterapia paliativa.,"Duodenopancreatectomía cefálica, con ablación percutánea mediante radiofrecuencia o alcoholización de la lesión hepática.",4,,
2011,40,,,,"Un hombre presenta se forma brusca astenia e ictericia detectándose unas transaminasas  superiores a 2000 UI/L Los marcadores serológicos muestran el siguiente patrón: Anti VHA IgM negativo, HBsAg negativo AntiHBc IgM positivo, anti VHC negativo. ¿Cuál es el diagnóstico?","Una interesante de algo que en general hay que estudiarse. Por la forma de presentación, es claramente una hepatitis aguda con lo que la 1 se descarta. La IgM de VHA negativa descarta la 5 y el HBs Ag negativo la 4 (para tener virus delta necesitas antígeno de superficie B). Al tener IgM anti HBc hablamos de una hepatitis aguda B (3), ya que hay un periodo ventana de negativización del antígeno.",,DIGESTIVO,,,,Hepatitis crónica B.,Hepatitis aguda no viral.,Hepatitis aguda B.,Sobreinfección por virus D (delta).,Hepatitis aguda A y B.,3,,
2011,44,,,,"Un hombre de 66 años de edad, refiere pirosis diaria desde la juventud que trata con alcalinos. Se le practica una endoscopia digestiva alta que muestra esofagitis erosiva leve y la unión escamosa columnar desplazada aproximadamente 7 cm. Respecto a la porción más proximal de los pliegues gástricos. Las biopsias del esófago distal revelan que el epitelio escamoso normal ha sido reemplazado por epitelio columnar de tipo intestinal con displasia de bajo grado ¿Cuál es la opción más apropiada para el manejo de este paciente?","Este paciente presenta un esófago de Barrett con displasia de bajo grado. No me gusta la pregunta, ya que al no estar con inhibición de producción ácida la displasia puede estar condicionada por la inflamación y no ser real. De todas formas, el esófago de Barrett debe seguir vigilancia endoscópica y tratamiento con IBP de por vida o cirugía antirreflujo para evitar evolución. La respuesta correcta es la 4.",,DIGESTIVO,,,,"Dado que la esofagitis es leve y la displasia de bajo grado, se aconseja continuar tratamiento con alcalinos.",Tratamiento indefinido con dosis altas de IBP ya que se ha demostrado que así se evita la progresión del esófago de Barrett a adenocarcinoma haciendo innecesaria la vigilancia endoscópica.,Endoscopias de vigilancia periódicas y tratamiento con IBP durante menos de 12 semanas ya que tratamientos prolongados se asocian a un alto riesgo de desarrollo de gastrinoma.,Endoscopias de vigilancia periódicas y tratamiento indefinido con IBP.,Esofaguectomía.,4,,
2011,45,,,,Hombre de 30 años con antecedente familiar de padre fallecido a los 38 años por cáncer de colon. Se practica una colonoscopia que muestra cientos de adenomas a lo largo de todo el colon. ¿Cuál de las afirmaciones son falsas?,Paciente con Poliposis adenomatosa familiar. Todas las afirmaciones son correctas excepto la 2. El tratamiento debe ser quirúrgico cuando se observa la poliposis. A los 40 años es el punto habitual de incidencia de cáncer.,,DIGESTIVO,,,,El paciente padece una poliposis adenomatosa familiar.,El manejo más apropiado es sulindac colonoscopia de seguimiento anuales y colectomía al cumplir los 40.,De no someterse a tratamiento quirúrgico casi con toda seguridad el paciente desarrollará cáncer colorrectal.,Deben estudiarse familiares de primer grado.,Los hijos del paciente tienen un 50% de riesgo de padecer la misma enfermedad.,2,,
2011,208,,,,Durante una colonoscopia se detecta un tumor de 5 cm localizado en colon derecho en un hombre de 48 años. No se han encontrado otras lesiones. Su abuela materna también padeció un cáncer de colon. Las biopsias son superficiales y muestran un tumor pobremente diferenciado con abundantes células inflamatorias en el estroma que se diagnostica como un carcinoma de tipo medular.,"Pegunta complicada sobre un adenocarcinoma poco habitual. Por descarte, la 1 sería fácil de eliminar, el tratamiento del cáncer de colon es quirúrgico (con neoadyuvancia en los de recto). Las biopsias si confirman adenocarcinoma no hace falta repetirla, ya que lo necesario es tener la pieza completa. La mayor parte de los ca. de colon se desarrollan sobre adenomas con lo cual esta la podríamos eliminar. Entre las otras 2 hay que saber que la 5 es correcta ya que suelen presentar casi siempre inestabilidad de microsatélites incluso sin cumplir criterios de Amsterdam y tienen mejor pronóstico frente a otros ca de colon poco diferenciados.",,DIGESTIVO,,,,La quimioterapia es el tratamiento de elección.,Puesto que la biopsia es superficial debe repetirse antes de proceder al tratamiento.,El pronóstico del tumor depende principalmente de su alto grado de anaplasia.,Es poco probable que este tumor se haya desarrollado sobre un adenoma previo.,"Debe estudiarse la inestabilidad de microsatélites, y los genes de reparación de errores del DNA.",5,,
2011,232,,,,"Mujer de 52 años que consulta copor haber notado durante la semana previa coloración amarillenta de conjuntivas. No refiere conductas sexuales de riesgo ni antecedente epidemiológicos de riesgo de hepatitis víricas. No consume alcohol ni fármacos hepatotóxicos. Relata historia de un año de evolución de prurito generalizado, astenia, sequedad de boca y ausencia de lagrimeo de causa no filiada. Resto de la anamnesis sin datos patológicos. En la exploración física se observan lesiones de rascado, ictericia conjuntival y hepatomegalia no dolorosa. Aporta analítica realizada en su empresa con los siguientes resultados patológicos: Bilirrubina 3 mg/dl, FA 400 UI/ VSG 40mm 1 hora. Indique cual sería la recomendación más acertada para establecer el diagnóstico etiológico del cuadro que presenta la paciente:","Cuadro de libro de Cirrosis Biliar Primaria, de esos que no se presentan en la vida real. El diagnóstico estaría prácticamente hecho con los AMA (1). Con la 2 descartaríamos hemocromatosis, Con la 3 la enfermedad de Wilson. Con la 4 podríamos descartar enfermedades raras tipo malformaciones de vía biliar o enf. De Caroli y con la 5 las hepatitis víricas.",,DIGESTIVO,,,,Anticuerpos antimitocondriales.,Estudio del metabolismo del Fe.,Estudio del metabolismo del cobre.,Resonancia magnética hepática.,Serología de virus B y C.,1,,
2011,74,,,,"Diez días después de practicarle una hemitiroidectomía a un paciente con un nódulo tiroideo de 1,5 cm recibe el siguiente informe anatomopatológico: “patrón folicular muy celular sin invasión capsular y que infiltra vasos sanguíneos y nervios adyacentes”. Señale la respuesta correcta:","Creo que la respuesta correcta es la 3 las respuestas 2,4 y 5 son claramente falsas. La duda se produce entre la 1 y la 2. El enunciado de la 1 es correcto en casos de carcinoma folicular sin invasión capsular puede en realizarse una tiroidectomía total. Pero si existen datos de mal pronóstico y la posibilidad de metástasis- como en este caso- lo mejor es completar la tiroidectomía y realizar un rastreo con Iodo radioactivo para descartar metástasis o tratarlas si están presentes.",,CIRUGÍA,,,,Como no existe invasión capsular no es necesaria más cirugía.,El patrón folicular es indicación de vaciamiento ganglionar cervical profiláctico.,Se trata de un carcinoma folicular y requiere completar la tiroidectomía.,El informe permite descartar con total seguridad un carcinoma papilar en el tiroides remanente.,La medición de calcitonina plasmática permitirá distinguir entre carcinoma papilar y folicular.,3,,
2011,92,,,,"Un hombre de 30 años sufre una caída de una altura de 2 metros de pie. A su llegada a urgencias en camilla consciente y orientado, con sondaje vesical con orina clara. Muestra tumefacción de talón izquierdo y hormigueos leves por cara anterior del muslo izquierdo y escroto así como disestesias en ambos pies. El paciente se despide del camillero con un apretón de manos con una palmada simultánea en el hombro. La rotación de los miembros inferiores en la camilla cogidos por los tobillos es indolora y la compresión de la pelvis es asintomática. A continuación:","Creo que la respuesta correcta es la 3 el paciente por el mecanismo lesional-caída de pie- , por la fractura de calcáneo y por la sintomatología neurológica sugiere una lesión medular baja por fractura de la columna lumbar. La lesión no es alta porque mueve los brazos. Tampoco parece una lesión de la pelvis por la ausencia de dolor a la movilización o palpación. Si hay una sospecha de lesión de la pelvis en la evaluación primaria de todo politraumatizado (ATLS) se debe realizar una exploración de la columna rotándolo en bloque para evitar producir más lesión. La palpación abdominal también forma parte de la evaluación inicial. La ecografía abdominal puede estar indicada en pacientes inestables hemodinámicamente si se sospechan lesiones abdominales pero en todo caso se hace después de la evaluación inicial.",,CIRUGÍA,,,,Lo sentaremos en la camilla para poder explorar la columna cervical.,"Remitirlo a la radiología para realizar estudio de las extremidades inferiores (pies, fémures, pelvis).",Palparemos el abdomen y rodaremos en bloque para palpar la columna toracolumbar.,Le colocaremos un collarin cervical y remitiremos a radiología para estudio de la imagen de extremidades inferiores y columna cervical.,Solicitaremos una ecografía abdominal.,3,,
