kasuZbkia,gaixotasunak,gaixotasunUMLS,sintomak,sintomenUMLS,gaixSin,gaixSinUMLS
0,"esofagitis erosiva,displasia","C0267055 C0267055,C0334044#C1279612",pirosis,C0018834,epitelio,C0225337_1
1,"aftas bucales,hemorragia","C0038363 C0038363,C0019080","Mujer,molestias,diarrea,signos,hemorragia,ictericia","C0043210#C0015780#C0086418,C0231218,C0011991,C0311392,C0019080,C0022346",,
2,"enfermedades,coágulos,úlcera","C0012634#C0039082,C0302148,C0041582_1",palidez,C0030232#C1275397,"deposiciones,melénicas,doloroso","-,-,-"
3,"cáncer,adenomas","C1306459#C0936282#C0006826,C0001430",,,,
4,,,"astenia,ictericia","C0004093#C3714552,C0022346",HBsAg,-
5,"bronquitis crónica,colecistitis aguda,leucocitosis","C0008677 C0008677,C0149520 C0149520,C0023518#C0750426","insuficiencia,con dieta absoluta,dolor abdominal","C0231179,C3472561 C3472561 C3472561,C0000737 C0000737",,
6,"hipertensión arterial,prurito,dilatación,masa,punción,adenocarcinoma","C0020538 C0020538,C0036262#C0033774_1,C0012359,C1306372#C0577559,C0033119,C0001418","mujer,ictericia,prurito,anorexia,nódulo hepático,masa,nódulo hepático","C0043210#C0015780#C0086418,C0022346,C0036262#C0033774_1,C1971624,C0745761 C0745761,C1306372#C0577559,C0745761 C0745761",,
7,estenosis,C0009814#C1261287,"mujer,ritmo sinusal","C0043210#C0015780#C0086418,C0232201 C0232201",,
8,,,"disnea,fatiga,consecuencia,soplo mesosistólico","C0013404#C0553668,C0015672,C0543419#C1368999#C1704419#C1280500#C1280519,C0232259 C0232259",,
9,cardiopatía hipertensiva,C0152105#C0694541 C0152105#C0694541,"engrosamiento,soltero,disnea,ortopnea,dolor","C0205400,C0037179,C0013404#C0553668,C0085619,C0030193",crepitantes,-
10,"DM tipo 2,edemas","C0011860 C0011860 C0011860,C0013604","tos seca,disnea,edemas,Soplo sistólico,sibilancias,hallazgos","C0850149 C0850149,C0013404#C0553668,C0013604,C0232257 C0232257,C0043144#C0392681,C0243095","HTA,Hipofonesis","-,-"
11,cardiopatía,C0018799,"problemas,taquicardia","C0033213,C0039231_1",palpitaciones,-
12,hipertensión arterial esencial,C0085580 C0085580 C0085580,mujer,C0043210#C0015780#C0086418,,
13,,,,,pérdida,-
14,"infarto agudo de miocardio,edema agudo de pulmón","C0155626 C0155626 C0155626 C0155626,C0155919 C0155919 C0155919 C0155919","portador,soplo pansistólico","C0560175,C0232258 C0232258",,
15,"hipertensión arterial tabaquismo,derivaciones","C0020538 C0020538 C0040332#C0040336#C1306274#C0425291,C1442858#C0542331","dolor,palidez,sudoración profusa soplo diastólico taquicardia sinusal","C0030193,C0030232#C1275397,C0700590#C0020458 C0700590#C0020458 C0232262 C0232262 C0039239 C0039239",,
16,"turista,traumatismos","C0277528,C3263723",disnea,C0013404#C0553668,,
17,,,"disnea,tos","C0013404#C0553668,C0010200_1","EPOC,expectoración","-,C0232515#C0038056"
18,,,,,adenopatías,-
19,síncope,C0039070#C0332521_1,"mujer,síncope,mareo,disnea,taquicardia,galope","C0043210#C0015780#C0086418,C0039070#C0332521_1,C0012833#C0220870,C0013404#C0553668,C0039231_1,C0232200",sudorosa,-
20,"masa,lesión,metástasis,carcinoma","C1306372#C0577559,C0332447#C1313971#C0221198,C2939419#C0013930,C0007097","fumador,tos,hallazgo","C0337664,C0010200_1,C0243095","expectoración,adenopatías","C0232515#C0038056,-"
21,,,"síntomas,debilidad","C1457887,C0424594#C0004093#C3714552",dificultad,C1299586#C0332218
22,epilepsia,C0014544,llanto,C0010399,,
23,"miastenia gravis,dificultad,para,tragar crisis miasténica","C0026896 C0026896,C0011168_1,C0011168_2,C0011168 C0270942 C0270942","dificultad,para,tragar,ruido,ronquido","C0011168_1,C0011168_2,C0011168_3,C0006318,C0037384_1","diplopia,sudoroso,fatigado","-,-,-"
24,"disminución,náuseas y vómitos,masa,erosión","C0333668#C0547047,C0027498 C0027498 C0027498,C1306372#C0577559,C0333307","Mujer,cefalea,masa","C0043210#C0015780#C0086418,C0018681,C1306372#C0577559","Hipotensa,oftalmoparesia,afectación","-,-,-"
25,síndrome de Cushing,C0001622#C0010481 C0001622#C0010481 C0001622#C0010481,"mujer,obesa","C0043210#C0015780#C0086418,C0028754",ACTH,-
26,poliuria,C0032617,"polidipsia,poliuria,tos,respiración profunda,cetonuria","C1994994#C0085602,C0032617,C0010200_1,C1328799#C0220854 C1328799#C0220854,C0162275","deterioro,náuseas,sensación,sequedad","C1279889_1,-,C0036658#C1455667,-"
27,"disminución,poliuria,desviaciones","C0333668#C0547047,C0032617,C0185033#C0333051","cefaleas,problemas,polidipsia,poliuria,hemianopsia","C0018681,C0033213,C1994994#C0085602,C0032617,C0018979",menarquia,-
28,"fractura,fracturas,traumatismo","C0016658,C0016658,C3263723",dolor intenso,C0458256 C0458256,,
29,disminución,C0333668#C0547047,déficit,C0162429,,
30,"hipertensión arterial,les","C0020538 C0020538,C1292157#C0409974",les,C1292157#C0409974,,
31,leucemia,C0023418,"astenia,palidez","C0004093#C3714552,C0030232#C1275397",,
32,esplenomegalia,C0038002,Morfología,C0700329#C0332437,"aniso-poiquilocitosis,dacriocitos","-,-"
